"regunit","region","trstprl","trstlgl","trstplc","trstplt","trstprt","freehms","hmsfmlsh","hmsacld","eqwrkbg","eqpolbg","eqmgmbg","eqpaybg"
2,"AT33",0,10,10,1,1,2,5,2,3,6,6,6
2,"AT34",6,8,6,6,4,3,3,4,3,5,5,5
2,"AT33",3,3,3,2,1,2,2,3,4,8,8,6
2,"AT31",0,7,7,0,0,1,4,1,3,3,3,3
2,"AT13",8,8,8,5,5,2,4,4,5,5,5,6
2,"AT34",4,3,3,3,1,3,4,4,3,3,3,4
2,"AT22",0,5,7,0,0,2,5,4,1,8,8,5
2,"AT11",5,7,8,4,2,2,4,3,4,2,3,5
2,"AT31",5,9,9,5,5,2,3,3,4,4,4,4
2,"AT13",1,4,3,1,1,4,5,5,6,5,6,6
2,"AT22",8,7,8,2,2,8,8,8,3,3,3,6
2,"AT31",6,8,8,5,4,1,4,3,5,5,5,6
2,"AT31",6,10,10,7,6,2,4,2,6,6,6,6
2,"AT31",2,5,10,1,1,1,4,4,2,6,6,6
2,"AT22",4,8,8,1,2,2,4,4,3,4,6,6
2,"AT21",5,88,9,6,88,2,2,4,2,8,8,8
2,"AT31",7,8,9,88,6,2,8,8,4,4,4,5
2,"AT33",8,10,8,7,7,1,5,2,4,5,5,5
2,"AT32",10,7,9,8,8,2,1,2,4,4,4,5
2,"AT33",5,7,7,4,7,1,5,1,4,5,6,6
2,"AT22",4,4,1,3,3,1,5,1,6,6,6,6
2,"AT31",8,10,10,3,4,2,8,8,3,6,6,6
2,"AT22",4,8,9,3,2,1,5,3,4,3,4,6
2,"AT34",3,2,3,3,3,3,3,4,3,3,4,5
2,"AT12",10,10,10,10,10,1,5,1,5,6,5,5
2,"AT34",5,5,7,4,6,3,5,3,4,4,4,4
2,"AT34",6,6,8,3,6,1,5,2,5,4,4,4
2,"AT13",1,2,2,0,0,2,5,7,5,5,5,5
2,"AT12",8,9,9,3,3,8,8,8,8,4,4,5
2,"AT13",5,6,6,4,4,2,4,2,3,6,6,6
2,"AT12",6,8,9,5,3,2,5,3,6,3,4,6
2,"AT21",3,5,5,0,0,1,5,1,4,6,5,5
2,"AT22",3,5,6,3,3,2,5,4,6,5,5,6
2,"AT11",10,10,10,7,7,1,5,1,6,6,6,6
2,"AT13",8,8,5,5,5,1,5,1,8,6,6,8
2,"AT33",5,8,7,4,4,1,4,1,6,6,6,6
2,"AT13",5,5,6,4,3,2,4,5,6,3,4,8
2,"AT22",3,88,7,3,3,1,5,1,6,8,6,6
2,"AT22",6,8,8,4,5,3,4,2,3,3,3,3
2,"AT11",3,8,9,3,2,2,4,3,5,2,2,5
2,"AT12",2,5,8,2,2,2,4,3,3,8,3,4
2,"AT34",1,2,4,1,1,1,4,5,6,3,3,6
2,"AT11",5,7,8,3,2,2,4,2,6,4,3,4
2,"AT12",10,10,10,10,10,1,5,1,5,6,6,6
2,"AT34",8,8,9,9,8,5,2,5,3,1,1,2
2,"AT13",1,1,1,0,0,1,5,1,5,6,6,6
2,"AT12",5,8,8,4,4,1,4,1,1,8,8,6
2,"AT12",10,10,10,8,8,2,4,2,5,6,5,6
2,"AT32",7,9,10,7,7,2,4,3,6,6,6,6
2,"AT22",7,7,7,7,7,3,5,3,3,6,6,6
2,"AT31",6,9,9,3,4,1,5,1,6,6,6,6
2,"AT12",10,10,10,10,8,1,5,1,6,6,6,6
2,"AT31",88,9,9,5,4,2,3,3,5,6,6,6
2,"AT13",6,4,3,0,3,1,5,1,6,6,6,6
2,"AT31",6,7,7,6,5,2,4,3,3,6,6,4
2,"AT22",9,10,10,7,9,1,5,2,3,5,5,5
2,"AT34",3,4,4,1,1,3,4,3,3,3,3,4
2,"AT22",7,8,7,4,4,1,5,1,4,5,4,5
2,"AT22",5,7,8,3,1,2,4,3,5,3,4,5
2,"AT22",5,4,3,7,10,3,3,3,4,4,4,4
2,"AT31",10,10,10,10,10,2,3,3,6,6,6,6
2,"AT13",2,5,5,2,2,1,5,1,8,5,5,6
2,"AT34",5,6,9,1,4,3,3,5,2,3,2,3
2,"AT21",0,5,9,0,0,1,5,1,6,6,6,6
2,"AT13",1,4,3,0,1,1,5,1,5,6,5,6
2,"AT21",2,5,9,1,0,2,8,2,2,3,3,4
2,"AT33",8,7,8,7,7,1,5,1,6,6,6,6
2,"AT33",4,4,5,3,3,2,5,3,2,3,6,6
2,"AT34",5,8,8,6,6,5,3,5,3,3,3,3
2,"AT22",3,6,9,5,3,4,2,5,4,3,5,5
2,"AT12",6,5,8,3,5,2,4,8,5,6,5,6
2,"AT21",5,10,8,4,4,1,5,1,6,6,6,6
2,"AT21",7,8,8,5,5,1,5,2,3,5,4,4
2,"AT31",5,7,8,4,4,2,4,3,6,6,6,3
2,"AT13",4,8,8,3,2,1,5,2,8,6,6,6
2,"AT22",5,7,8,2,2,1,5,2,6,6,6,6
2,"AT12",8,9,9,5,4,2,3,4,5,5,5,6
2,"AT22",9,9,9,6,6,1,5,1,6,6,6,6
2,"AT12",5,4,6,5,5,2,5,2,2,3,3,5
2,"AT13",7,7,7,4,4,1,5,2,5,7,7,5
2,"AT33",6,6,6,4,4,1,5,1,5,5,5,6
2,"AT13",8,6,8,4,4,1,5,2,5,3,5,4
2,"AT22",2,2,10,1,1,1,5,1,6,6,4,6
2,"AT31",6,8,8,5,5,8,8,4,4,3,3,8
2,"AT12",6,6,8,5,5,2,8,8,5,6,5,5
2,"AT22",10,10,10,10,10,1,5,2,6,4,5,6
2,"AT33",4,7,6,4,5,1,5,1,5,6,6,6
2,"AT22",1,2,5,3,2,2,5,2,3,4,4,4
2,"AT31",5,7,6,5,5,1,4,2,4,4,4,6
2,"AT31",5,5,7,3,4,1,5,2,5,6,3,3
2,"AT22",7,9,9,4,5,1,5,2,3,5,5,6
2,"AT32",8,6,10,8,7,3,2,1,2,3,3,3
2,"AT31",7,7,10,9,8,2,4,2,4,4,4,4
2,"AT12",5,8,9,2,2,2,5,8,8,5,4,5
2,"AT31",6,8,9,5,6,1,5,2,5,5,5,6
2,"AT12",7,8,8,5,5,5,1,5,1,1,0,3
2,"AT34",4,6,9,5,4,2,5,3,1,3,5,3
2,"AT22",4,7,8,3,3,2,4,1,6,6,6,6
2,"AT32",3,5,7,3,3,4,2,5,0,0,0,0
2,"AT11",9,10,10,10,9,1,5,1,5,6,5,5
2,"AT31",88,8,8,6,6,8,2,4,2,5,6,6
2,"AT22",3,9,10,4,5,1,5,1,4,5,4,6
2,"AT12",5,3,7,3,5,2,4,5,6,5,5,6
2,"AT31",88,88,10,2,2,8,4,8,5,6,6,6
2,"AT13",8,8,8,6,6,1,5,1,6,6,6,6
2,"AT31",7,8,8,7,7,2,4,2,6,6,6,6
2,"AT13",10,10,10,10,10,1,5,1,6,6,6,6
2,"AT31",5,7,7,3,3,1,5,1,2,5,5,6
2,"AT12",10,10,10,10,10,1,5,1,5,6,5,6
2,"AT22",0,8,7,0,0,1,5,1,6,6,6,6
2,"AT22",7,8,8,7,7,2,5,3,4,4,4,4
2,"AT11",6,8,9,4,3,2,4,2,5,3,4,5
2,"AT13",2,2,3,88,88,1,5,2,6,3,3,6
2,"AT12",5,7,9,3,3,1,5,1,8,6,6,6
2,"AT22",5,7,8,5,5,1,5,1,3,6,6,6
2,"AT34",3,7,7,5,5,1,1,2,2,4,4,4
2,"AT33",4,8,8,5,5,2,5,2,3,5,5,5
2,"AT13",4,3,3,2,3,1,5,1,6,6,6,6
2,"AT22",6,7,7,4,3,3,4,3,6,6,6,6
